descriptor,cluster_class,scaler,n_clusters,cluster_class_params,calinski_harabasz_score,davies_bouldin_score
efficientnet-b7,DBSCAN,standard,2,"{'eps': 20, 'min_samples': 16}",45.08206355687976,15.665968948626148
efficientnet-b7,DBSCAN,standard,2,"{'eps': 24, 'min_samples': 16}",5.587653677805393,5.7358615144205665
efficientnet-b7,DBSCAN,standard,1,"{'eps': 32, 'min_samples': 16}",,
efficientnet-b7,DBSCAN,standard,1,"{'eps': 48, 'min_samples': 16}",,
efficientnet-b7,DBSCAN,standard,1,"{'eps': 1, 'min_samples': 32}",,
efficientnet-b7,DBSCAN,standard,1,"{'eps': 2, 'min_samples': 32}",,
efficientnet-b7,DBSCAN,standard,1,"{'eps': 8, 'min_samples': 32}",,
efficientnet-b7,DBSCAN,standard,1,"{'eps': 12, 'min_samples': 32}",,
efficientnet-b7,DBSCAN,standard,2,"{'eps': 16, 'min_samples': 32}",62.78322006040698,22.769322582150437
efficientnet-b7,DBSCAN,standard,2,"{'eps': 20, 'min_samples': 32}",45.07196387505619,15.671193689219445
efficientnet-b7,DBSCAN,standard,2,"{'eps': 24, 'min_samples': 32}",5.587653677805393,5.7358615144205665
efficientnet-b7,DBSCAN,standard,1,"{'eps': 32, 'min_samples': 32}",,
efficientnet-b7,DBSCAN,standard,1,"{'eps': 48, 'min_samples': 32}",,
efficientnet-b7,DBSCAN,standard,1,"{'eps': 1, 'min_samples': 64}",,
efficientnet-b7,DBSCAN,standard,1,"{'eps': 2, 'min_samples': 64}",,
efficientnet-b7,DBSCAN,standard,1,"{'eps': 8, 'min_samples': 64}",,
efficientnet-b7,DBSCAN,standard,1,"{'eps': 12, 'min_samples': 64}",,
efficientnet-b7,DBSCAN,standard,2,"{'eps': 16, 'min_samples': 64}",62.77399463556362,22.75212389957434
efficientnet-b7,DBSCAN,standard,2,"{'eps': 20, 'min_samples': 64}",45.06427112896689,15.675548273984859
efficientnet-b7,DBSCAN,standard,2,"{'eps': 24, 'min_samples': 64}",5.587653677805393,5.7358615144205665
efficientnet-b7,DBSCAN,standard,1,"{'eps': 32, 'min_samples': 64}",,
efficientnet-b7,DBSCAN,standard,1,"{'eps': 48, 'min_samples': 64}",,
efficientnet-b7,DBSCAN,standard,1,"{'eps': 1, 'min_samples': 128}",,
efficientnet-b7,DBSCAN,standard,1,"{'eps': 2, 'min_samples': 128}",,
efficientnet-b7,DBSCAN,standard,1,"{'eps': 8, 'min_samples': 128}",,
efficientnet-b7,DBSCAN,standard,1,"{'eps': 12, 'min_samples': 128}",,
efficientnet-b7,DBSCAN,standard,2,"{'eps': 16, 'min_samples': 128}",62.724769722557355,22.73483020948962
efficientnet-b7,DBSCAN,standard,2,"{'eps': 20, 'min_samples': 128}",45.048038955525925,15.681422805220901
efficientnet-b7,DBSCAN,standard,2,"{'eps': 24, 'min_samples': 128}",5.587653677805393,5.7358615144205665
efficientnet-b7,DBSCAN,standard,1,"{'eps': 32, 'min_samples': 128}",,
efficientnet-b7,DBSCAN,standard,1,"{'eps': 48, 'min_samples': 128}",,
efficientnet-b7,DBSCAN,standard,1,"{'eps': 1, 'min_samples': 256}",,
efficientnet-b7,DBSCAN,standard,1,"{'eps': 2, 'min_samples': 256}",,
efficientnet-b7,DBSCAN,standard,1,"{'eps': 8, 'min_samples': 256}",,
efficientnet-b7,DBSCAN,standard,1,"{'eps': 12, 'min_samples': 256}",,
efficientnet-b7,DBSCAN,standard,2,"{'eps': 16, 'min_samples': 256}",62.60210432944725,22.71972924005063
efficientnet-b7,DBSCAN,standard,2,"{'eps': 20, 'min_samples': 256}",45.048038955525925,15.681422805220901
efficientnet-b7,DBSCAN,standard,2,"{'eps': 24, 'min_samples': 256}",5.587653677805393,5.7358615144205665
efficientnet-b7,DBSCAN,standard,1,"{'eps': 32, 'min_samples': 256}",,
efficientnet-b7,DBSCAN,standard,1,"{'eps': 48, 'min_samples': 256}",,
efficientnet-b7,HDBSCAN,norm,1,{'min_cluster_size': 4},,
efficientnet-b7,HDBSCAN,norm,1,{'min_cluster_size': 8},,
efficientnet-b7,HDBSCAN,norm,1,{'min_cluster_size': 12},,
efficientnet-b7,HDBSCAN,norm,1,{'min_cluster_size': 16},,
efficientnet-b7,HDBSCAN,norm,1,{'min_cluster_size': 24},,
efficientnet-b7,HDBSCAN,norm,1,{'min_cluster_size': 32},,
efficientnet-b7,HDBSCAN,norm,1,{'min_cluster_size': 48},,
efficientnet-b7,HDBSCAN,standard,1,{'min_cluster_size': 4},,
efficientnet-b7,HDBSCAN,standard,1,{'min_cluster_size': 8},,
efficientnet-b7,HDBSCAN,standard,1,{'min_cluster_size': 12},,
efficientnet-b7,HDBSCAN,standard,1,{'min_cluster_size': 16},,
efficientnet-b7,HDBSCAN,standard,1,{'min_cluster_size': 24},,
efficientnet-b7,HDBSCAN,standard,1,{'min_cluster_size': 32},,
efficientnet-b7,HDBSCAN,standard,1,{'min_cluster_size': 48},,
osnet,DBSCAN,norm,39,"{'eps': 1, 'min_samples': 8}",39.18989263345956,2.2154869927438825
osnet,DBSCAN,norm,2,"{'eps': 2, 'min_samples': 8}",7.840547823614988,2.1205189268689746
osnet,DBSCAN,norm,1,"{'eps': 8, 'min_samples': 8}",,
osnet,DBSCAN,norm,1,"{'eps': 12, 'min_samples': 8}",,
osnet,DBSCAN,norm,1,"{'eps': 16, 'min_samples': 8}",,
osnet,DBSCAN,norm,1,"{'eps': 20, 'min_samples': 8}",,
osnet,DBSCAN,norm,1,"{'eps': 24, 'min_samples': 8}",,
osnet,DBSCAN,norm,1,"{'eps': 32, 'min_samples': 8}",,
osnet,DBSCAN,norm,1,"{'eps': 48, 'min_samples': 8}",,
osnet,DBSCAN,norm,14,"{'eps': 1, 'min_samples': 16}",74.96610819190101,3.1395620024421236
osnet,DBSCAN,norm,2,"{'eps': 2, 'min_samples': 16}",7.840547823614988,2.1205189268689746
osnet,DBSCAN,norm,1,"{'eps': 8, 'min_samples': 16}",,
osnet,DBSCAN,norm,1,"{'eps': 12, 'min_samples': 16}",,
osnet,DBSCAN,norm,1,"{'eps': 16, 'min_samples': 16}",,
osnet,DBSCAN,norm,1,"{'eps': 20, 'min_samples': 16}",,
osnet,DBSCAN,norm,1,"{'eps': 24, 'min_samples': 16}",,
osnet,DBSCAN,norm,1,"{'eps': 32, 'min_samples': 16}",,
osnet,DBSCAN,norm,1,"{'eps': 48, 'min_samples': 16}",,
osnet,DBSCAN,norm,6,"{'eps': 1, 'min_samples': 32}",128.88517509428416,4.86593022527875
osnet,DBSCAN,norm,2,"{'eps': 2, 'min_samples': 32}",7.840547823614988,2.1205189268689746
osnet,DBSCAN,norm,1,"{'eps': 8, 'min_samples': 32}",,
osnet,DBSCAN,norm,1,"{'eps': 12, 'min_samples': 32}",,
osnet,DBSCAN,norm,1,"{'eps': 16, 'min_samples': 32}",,
osnet,DBSCAN,norm,1,"{'eps': 20, 'min_samples': 32}",,
osnet,DBSCAN,norm,1,"{'eps': 24, 'min_samples': 32}",,
osnet,DBSCAN,norm,1,"{'eps': 32, 'min_samples': 32}",,
osnet,DBSCAN,norm,1,"{'eps': 48, 'min_samples': 32}",,
osnet,DBSCAN,norm,5,"{'eps': 1, 'min_samples': 64}",182.59380528242298,5.069501331767175
osnet,DBSCAN,norm,2,"{'eps': 2, 'min_samples': 64}",15.459471453244351,1.9068149524330804
osnet,DBSCAN,norm,1,"{'eps': 8, 'min_samples': 64}",,
osnet,DBSCAN,norm,1,"{'eps': 12, 'min_samples': 64}",,
osnet,DBSCAN,norm,1,"{'eps': 16, 'min_samples': 64}",,
osnet,DBSCAN,norm,1,"{'eps': 20, 'min_samples': 64}",,
osnet,DBSCAN,norm,1,"{'eps': 24, 'min_samples': 64}",,
osnet,DBSCAN,norm,1,"{'eps': 32, 'min_samples': 64}",,
osnet,DBSCAN,norm,1,"{'eps': 48, 'min_samples': 64}",,
osnet,DBSCAN,norm,3,"{'eps': 1, 'min_samples': 128}",283.96341266649677,6.802102392397135
osnet,DBSCAN,norm,2,"{'eps': 2, 'min_samples': 128}",14.808030290386176,2.1186375657891823
osnet,DBSCAN,norm,1,"{'eps': 8, 'min_samples': 128}",,
osnet,DBSCAN,norm,1,"{'eps': 12, 'min_samples': 128}",,
osnet,DBSCAN,norm,1,"{'eps': 16, 'min_samples': 128}",,
osnet,DBSCAN,norm,1,"{'eps': 20, 'min_samples': 128}",,
