descriptor,cluster_class,scaler,n_clusters,cluster_class_params,calinski_harabasz_score,davies_bouldin_score
efficientnet-b7,AgglomerativeClustering,norm,10,{'n_clusters': 10},2.7973457939377138,0.5946133485892924
efficientnet-b7,AgglomerativeClustering,norm,11,{'n_clusters': 11},2.7946701536202627,0.5946935597772405
efficientnet-b7,AgglomerativeClustering,norm,12,{'n_clusters': 12},2.7740513760179284,0.5976034672345688
efficientnet-b7,AgglomerativeClustering,norm,13,{'n_clusters': 13},2.764010140563691,0.5984403868404324
efficientnet-b7,AgglomerativeClustering,norm,14,{'n_clusters': 14},2.7582312984093926,0.5988717036713954
efficientnet-b7,AgglomerativeClustering,norm,15,{'n_clusters': 15},2.7465709228308754,0.5999680141812325
efficientnet-b7,AgglomerativeClustering,norm,16,{'n_clusters': 16},2.73898386251051,0.6006505370810703
efficientnet-b7,AgglomerativeClustering,norm,17,{'n_clusters': 17},2.729726678236435,0.6015427791558356
efficientnet-b7,AgglomerativeClustering,norm,18,{'n_clusters': 18},2.724175521779187,0.6020451207936849
efficientnet-b7,AgglomerativeClustering,norm,19,{'n_clusters': 19},2.7167865656771224,0.6027676344667663
efficientnet-b7,AgglomerativeClustering,norm,20,{'n_clusters': 20},2.709448039217547,0.6035008782116517
efficientnet-b7,AgglomerativeClustering,norm,21,{'n_clusters': 21},2.700861000621098,0.604569289103749
efficientnet-b7,AgglomerativeClustering,norm,22,{'n_clusters': 22},2.6947998188499582,0.6051746249433472
efficientnet-b7,AgglomerativeClustering,norm,23,{'n_clusters': 23},2.693674471186524,0.605236811472994
efficientnet-b7,AgglomerativeClustering,norm,24,{'n_clusters': 24},2.6877226876682765,0.6058481447495178
efficientnet-b7,AgglomerativeClustering,norm,25,{'n_clusters': 25},2.682696932942165,0.6063603436002141
efficientnet-b7,AgglomerativeClustering,norm,26,{'n_clusters': 26},2.6781744496641675,0.6068218550372304
efficientnet-b7,AgglomerativeClustering,norm,27,{'n_clusters': 27},2.6713479838435417,0.6077327582657132
efficientnet-b7,AgglomerativeClustering,norm,28,{'n_clusters': 28},2.6697192315111415,0.6078683385199788
efficientnet-b7,AgglomerativeClustering,norm,29,{'n_clusters': 29},2.6675022834971416,0.6080744671258119
efficientnet-b7,AgglomerativeClustering,norm,30,{'n_clusters': 30},2.6672735768640314,0.6080603523550926
efficientnet-b7,AgglomerativeClustering,standard,2,{'n_clusters': 2},3.0691133906201458,0.565766858290572
efficientnet-b7,AgglomerativeClustering,standard,3,{'n_clusters': 3},2.9745654527551437,0.5779535837793989
efficientnet-b7,AgglomerativeClustering,standard,4,{'n_clusters': 4},2.9595754685186395,0.5782359031537314
efficientnet-b7,AgglomerativeClustering,standard,5,{'n_clusters': 5},2.902709543417336,0.585640271729711
efficientnet-b7,AgglomerativeClustering,standard,6,{'n_clusters': 6},2.859542515481881,0.5896506403850311
efficientnet-b7,AgglomerativeClustering,standard,7,{'n_clusters': 7},2.82679964182255,0.5925691489674901
efficientnet-b7,AgglomerativeClustering,standard,8,{'n_clusters': 8},2.8067334320533064,0.594089598444085
efficientnet-b7,AgglomerativeClustering,standard,9,{'n_clusters': 9},2.8135141885171064,0.5931896003638623
efficientnet-b7,AgglomerativeClustering,standard,10,{'n_clusters': 10},2.805382317502567,0.5937464904677248
efficientnet-b7,AgglomerativeClustering,standard,11,{'n_clusters': 11},2.8030132803511663,0.5937954110782706
efficientnet-b7,AgglomerativeClustering,standard,12,{'n_clusters': 12},2.791464822590552,0.5948045717452318
efficientnet-b7,AgglomerativeClustering,standard,13,{'n_clusters': 13},2.7765151123539535,0.5966824643044135
