descriptor,cluster_class,scaler,n_clusters,calinski_harabasz_score,davies_bouldin_score
osnet,AgglomerativeClustering,norm,5,5.839003285867689,0.5950140260331425
osnet,AgglomerativeClustering,norm,6,6.233521912824943,0.5543048752372716
osnet,AgglomerativeClustering,norm,7,5.8503255919703925,0.5457275844740198
osnet,AgglomerativeClustering,norm,8,6.057923065274861,0.5950297700081842
osnet,AgglomerativeClustering,norm,9,5.771569455747574,0.5850406102731984
osnet,AgglomerativeClustering,norm,10,5.49639228536005,0.5805469045079061
osnet,AgglomerativeClustering,norm,11,5.567601589507653,0.5635384151104953
osnet,AgglomerativeClustering,norm,12,5.578354559487214,0.5508393515818445
osnet,AgglomerativeClustering,norm,13,5.516003696908351,0.5427820476296934
osnet,AgglomerativeClustering,norm,14,5.34339929411244,0.5427257956163575
osnet,AgglomerativeClustering,norm,15,5.221108986434568,0.5408434958586866
osnet,AgglomerativeClustering,standard,2,6.445242520865859,0.3839344176723827
osnet,AgglomerativeClustering,standard,3,6.293716752252579,0.390176541127158
osnet,AgglomerativeClustering,standard,4,6.405174531408505,0.38728342871913957
osnet,AgglomerativeClustering,standard,5,7.156118348137992,0.37338051969223507
osnet,AgglomerativeClustering,standard,6,7.154423900355251,0.37191652626609306
osnet,AgglomerativeClustering,standard,7,7.4022871664526555,0.5086085662091447
osnet,AgglomerativeClustering,standard,8,7.020988010750489,0.5010396566201346
osnet,AgglomerativeClustering,standard,9,6.687536131754983,0.49727946709371934
osnet,AgglomerativeClustering,standard,10,7.220639273078019,0.526301804459422
osnet,AgglomerativeClustering,standard,11,7.32261120710618,0.5538752043859773
osnet,AgglomerativeClustering,standard,12,7.132518140377252,0.5432353219715461
osnet,AgglomerativeClustering,standard,13,6.676902807475226,0.49964582133580654
osnet,AgglomerativeClustering,standard,14,6.4547790384569455,0.4997281208900294
osnet,AgglomerativeClustering,standard,15,6.300233178143728,0.49778626454478053
vdc_color,KMeans,norm,2,8249.97579071572,4.944693238342376
vdc_color,KMeans,norm,3,5180.123346674773,6.161043563745483
vdc_color,KMeans,norm,4,3740.0749127245367,6.806740880316257
vdc_color,KMeans,norm,5,3571.591158032655,6.385197205516928
vdc_color,KMeans,norm,6,3176.264884500111,6.037977468253281
vdc_color,KMeans,norm,7,2873.7065580511226,5.728217153249103
vdc_color,KMeans,norm,8,2463.060008379417,5.541295323867112
vdc_color,KMeans,norm,9,2452.8065715758,5.466595732773885
vdc_color,KMeans,norm,10,2187.8439649357642,5.267956058464513
vdc_color,KMeans,norm,11,2085.3833753283066,5.278129477641425
vdc_color,KMeans,norm,12,2000.3563359176453,5.377161256747286
vdc_color,KMeans,norm,13,1952.5509435948466,5.228649942880946
vdc_color,KMeans,norm,14,1858.9770423980478,4.999451365358005
vdc_color,KMeans,norm,15,1684.6137968140488,4.556324841195974
vdc_color,KMeans,standard,2,1743.521944840929,10.509423806218424
vdc_color,KMeans,standard,3,1331.600573782336,8.363429395179054
vdc_color,KMeans,standard,4,1516.2462901570952,8.304782609956016
vdc_color,KMeans,standard,5,1455.1972113233799,7.326738716905568
vdc_color,KMeans,standard,6,1474.2745189471686,6.825209676623405
vdc_color,KMeans,standard,7,1468.222709201228,6.539912265040456
vdc_color,KMeans,standard,8,1341.3047177085075,6.413706421332315
vdc_color,KMeans,standard,9,1373.2676346969881,6.161550335341961
vdc_color,KMeans,standard,10,1304.9363946846481,5.871338567165856
vdc_color,KMeans,standard,11,1325.6002857393978,5.801427790737722
vdc_color,KMeans,standard,12,1254.0685730698576,5.649230045981277
vdc_color,KMeans,standard,13,1182.4378340502867,5.424327477408097
vdc_color,KMeans,standard,14,1227.3465419923189,5.5263200917540365
vdc_color,KMeans,standard,15,1183.402290304751,5.443173019343235
vdc_color,AgglomerativeClustering,norm,2,5.620887412793384,0.4155273335807869
vdc_color,AgglomerativeClustering,norm,3,5.355804639935749,0.4295976734175837
vdc_color,AgglomerativeClustering,norm,4,5.204190468879089,0.43554480332985296
vdc_color,AgglomerativeClustering,norm,5,5.111425973017694,0.4386839179583754
vdc_color,AgglomerativeClustering,norm,6,4.91747525641738,0.4522463665595644
vdc_color,AgglomerativeClustering,norm,7,5.241267621594733,0.44137240389328386
vdc_color,AgglomerativeClustering,norm,8,5.056822154702522,0.449615507750065
vdc_color,AgglomerativeClustering,norm,9,5.097446028656777,0.4468437577589832
vdc_color,AgglomerativeClustering,norm,10,4.973786225793077,0.45151531771385744
vdc_color,AgglomerativeClustering,norm,11,4.839212143488491,0.4594496748597466
vdc_color,AgglomerativeClustering,norm,12,4.734554921248072,0.46391401404617066
vdc_color,AgglomerativeClustering,norm,13,4.666023882680709,0.46654409551575454
vdc_color,AgglomerativeClustering,norm,14,4.567719221061282,0.47274019368850784
vdc_color,AgglomerativeClustering,norm,15,4.524036307300053,0.47424622864217897
vdc_color,AgglomerativeClustering,standard,2,5.983333278057021,0.40239035854936395
vdc_color,AgglomerativeClustering,standard,3,5.718682722728119,0.41510885085956506
vdc_color,AgglomerativeClustering,standard,4,5.544173632328279,0.4218874465439382
vdc_color,AgglomerativeClustering,standard,5,5.394121743961967,0.42821471495219665
vdc_color,AgglomerativeClustering,standard,6,5.195926911503473,0.43942675706255857
vdc_color,AgglomerativeClustering,standard,7,5.479992386715226,0.43018109820675965
vdc_color,AgglomerativeClustering,standard,8,5.2486834349789895,0.44301243023945364
vdc_color,AgglomerativeClustering,standard,9,5.103731431878393,0.44787507285176736
vdc_color,AgglomerativeClustering,standard,10,4.984218737835328,0.45213190256255303
vdc_color,AgglomerativeClustering,standard,11,5.089387982890801,0.44745144166074
vdc_color,AgglomerativeClustering,standard,12,4.979258146594854,0.4518193439150347
vdc_color,AgglomerativeClustering,standard,13,4.931322263578341,0.4531451833093557
vdc_color,AgglomerativeClustering,standard,14,4.872585435459391,0.45521810270523255
vdc_color,AgglomerativeClustering,standard,15,4.780663825042017,0.46078883277770244
vdc_type,KMeans,norm,2,4437.89774802112,6.688233679941864
vdc_type,KMeans,norm,3,2985.9092183112034,6.975830682861543
vdc_type,KMeans,norm,4,2449.850434618028,7.066513786992154
vdc_type,KMeans,norm,5,2250.5667337547834,6.7509704639852375
vdc_type,KMeans,norm,6,2119.5546312895676,6.643118034467581
vdc_type,KMeans,norm,7,1911.103754076428,6.181904022013811
vdc_type,KMeans,norm,8,1829.1468490447119,6.240008071425787
vdc_type,KMeans,norm,9,1708.7468928861747,5.958994123888654
vdc_type,KMeans,norm,10,1625.298549320451,5.90109494891148
vdc_type,KMeans,norm,11,1585.4833877669796,5.8135717222929735
vdc_type,KMeans,norm,12,1475.5159838085435,5.427375089895865
vdc_type,KMeans,norm,13,1454.8791245551386,5.2937626664421895
vdc_type,KMeans,norm,14,1428.9024059467572,5.202071175332493
vdc_type,KMeans,norm,15,1399.1358542602266,5.271819554346298
vdc_type,KMeans,standard,2,1134.285308248472,6.894005564004846
vdc_type,KMeans,standard,3,1092.4608258896726,6.962355637213849
vdc_type,KMeans,standard,4,1119.483275865708,9.56981135437799
vdc_type,KMeans,standard,5,1086.167366499842,7.94104499184588
vdc_type,KMeans,standard,6,1107.5678032395242,7.502467195961056
vdc_type,KMeans,standard,7,1121.6653137696953,7.1025592362163446
vdc_type,KMeans,standard,8,1070.5254637759203,6.788565136452645
vdc_type,KMeans,standard,9,1092.8747952879844,6.898721503319184
vdc_type,KMeans,standard,10,1106.5421079457171,6.642995858121371
vdc_type,KMeans,standard,11,1102.2758735839236,6.398155682571305
vdc_type,KMeans,standard,12,1073.7524815475917,6.195253081426472
vdc_type,KMeans,standard,13,1029.5046656319992,6.07417113985114
vdc_type,KMeans,standard,14,1035.957392356414,5.979837739821349
vdc_type,KMeans,standard,15,1029.4874037452928,5.84366784873042
vdc_type,AgglomerativeClustering,norm,2,32.25904966045736,0.17271867915750955
